Dow,Nasdaq,S&P_500
17148.9395,4903.0898,2012.66
17158.6602,4891.4302,2016.71
16906.5098,4835.7598,1990.26
16514.0996,4689.4302,1943.09
16346.4502,4643.6299,1922.03
16398.5703,4637.9902,1923.67
16516.2207,4685.9199,1938.6801
16151.4102,4526.0601,1890.28
16379.0498,4615.0,1921.84
15988.0801,4488.4199,1880.33
16016.0195,4476.9502,1881.33
15766.7402,4471.6899,1859.33
15882.6797,4472.0601,1868.99
16093.5098,4591.1802,1906.9
15885.2197,4518.4902,1877.08
16167.2305,4567.6699,1903.63
15944.46,4468.1699,1882.95
16069.6396,4506.6802,1893.36
16466.3008,4613.9502,1940.24
16449.1797,4620.3701,1939.38
16153.54,4516.9502,1903.03
16336.6602,4504.2402,1912.53
16416.5801,4509.5601,1915.45
16204.9697,4363.1401,1880.05
16027.0498,4283.75,1853.4399
16014.3799,4268.7598,1852.21
15914.7402,4283.5898,1851.86
15660.1797,4266.8398,1829.08
15973.8398,4337.5098,1864.78
16196.4102,4435.96,1895.58
16453.8301,4534.0601,1926.8199
16413.4297,4487.54,1917.83
16391.9902,4504.4302,1917.78
16620.6602,4570.6099,1945.5
16431.7793,4503.5801,1921.27
16484.9902,4542.6099,1929.8
16697.2891,4582.2002,1951.7
16639.9707,4590.4702,1948.05
16516.5,4557.9502,1932.23
16865.0801,4689.6001,1978.35
16899.3203,4703.4199,1986.45
16943.9004,4707.4199,1993.4
17006.7695,4717.02,1999.99
17073.9492,4708.25,2001.76
16964.0996,4648.8198,1979.26
17000.3594,4674.3799,1989.26
16995.1309,4662.1602,1989.5699
17213.3105,4748.4702,2022.1899
17229.1309,4750.2798,2019.64
17251.5293,4728.6699,2015.9301
17325.7598,4763.9702,2027.22
17481.4902,4774.9902,2040.59
17602.3008,4795.6499,2049.5801
17623.8691,4808.8701,2051.6001
17582.5703,4821.6602,2049.8
17502.5898,4768.8599,2036.71
17515.7305,4773.5,2035.9399
17535.3906,4766.79,2037.05
17633.1094,4846.6201,2055.01
17716.6602,4869.29,2063.95
17685.0898,4869.8501,2059.74
17792.75,4914.54,2072.78
17737.0,4891.7998,2066.1299
17603.3203,4843.9302,2045.17
17716.0508,4920.7202,2066.6599
17541.9609,4848.3701,2041.91
17576.9609,4850.6899,2047.6
17556.4102,4833.3999,2041.99
17721.25,4872.0898,2061.72
17908.2793,4947.4199,2082.4199
17926.4297,4945.8901,2082.78
17897.4609,4938.2202,2080.73
18004.1602,4960.02,2094.3401
18053.5996,4940.3301,2100.8
18096.2695,4948.1299,2102.3999
17982.5195,4945.8901,2091.48
18003.75,4906.23,2091.5801
17977.2402,4895.79,2087.79
17990.3203,4888.2798,2091.7
18041.5508,4863.1401,2095.1499
17830.7598,4805.29,2075.8101
17773.6406,4775.3599,2065.3
17891.1602,4817.5898,2081.4299
17750.9102,4763.2202,2063.3701
17651.2598,4725.6401,2051.1201
17660.7109,4717.0898,2050.6299
17740.6309,4736.1602,2057.1399
17705.9102,4750.21,2058.6899
17928.3496,4809.8799,2084.3899
17711.1191,4760.6899,2064.46
17720.5,4737.3301,2064.1101
17535.3203,4717.6802,2046.61
17710.7109,4775.46,2066.6599
17529.9805,4715.73,2047.21
17526.6191,4739.1201,2047.63
17435.4004,4712.5298,2040.04
17500.9395,4769.5601,2052.3201
17492.9297,4765.7798,2048.04
17706.0508,4861.0601,2076.0601
17851.5098,4894.8901,2090.54
17828.2891,4901.77,2090.1001
17873.2207,4933.5,2099.0601
17787.1992,4948.0498,2096.95
17789.6699,4952.25,2099.3301
17838.5605,4971.3599,2105.26
17807.0605,4942.52,2099.1299
17920.3301,4968.71,2109.4099
17938.2793,4961.75,2112.1299
18005.0508,4974.6401,2119.1201
17985.1895,4958.6201,2115.48
17865.3398,4894.5498,2096.0701
17732.4805,4848.4399,2079.0601
17674.8203,4843.5498,2075.3201
17640.1699,4834.9302,2071.5
17733.0996,4844.9199,2077.99
17675.1602,4800.3398,2071.22
17804.8691,4837.21,2083.25
17829.7305,4843.7598,2088.8999
17780.8301,4833.3198,2085.45
18011.0703,4910.04,2113.3201
17400.75,4707.98,2037.41
17140.2402,4594.4399,2000.54
17409.7207,4691.8701,2036.09
17694.6797,4779.25,2070.77
17929.9902,4842.6699,2098.8601
17949.3691,4862.5698,2102.95
17840.6191,4822.8999,2088.55
17918.6191,4859.1602,2099.73
17895.8809,4876.8101,2097.8999
18146.7402,4956.7598,2129.8999
18226.9297,4988.6401,2137.1599
18347.6699,5022.8198,2152.1399
18372.1191,5005.73,2152.4299
18506.4102,5034.0601,2163.75
18516.5508,5029.5898,2161.74
18533.0508,5055.7798,2166.8899
18559.0098,5036.3701,2163.78
18595.0293,5089.9302,2173.02
18517.2305,5073.8999,2165.1699
18570.8496,5100.1602,2175.03
18493.0605,5097.6299,2168.48
18473.75,5110.0498,2169.1799
18472.1699,5139.8101,2166.5801
18456.3496,5154.98,2170.0601
18432.2402,5162.1299,2173.6001
18404.5098,5184.2002,2170.8401
18313.7695,5137.73,2157.03
18355.0,5159.7402,2163.79
18352.0508,5166.25,2164.25
18543.5293,5221.1201,2182.8701
18529.2891,5213.1401,2180.8899
18533.0508,5225.48,2181.74
18495.6602,5204.5801,2175.49
18613.5195,5228.3999,2185.79
18576.4707,5232.8901,2184.05
18636.0508,5262.02,2190.1499
18552.0195,5227.1099,2178.1499
18573.9395,5228.6602,2182.22
18597.6992,5240.1499,2187.02
18552.5703,5238.3799,2183.8701
18529.4199,5244.6001,2182.6399
18547.3008,5260.0801,2186.8999
18481.4805,5217.6899,2175.4399
18448.4102,5212.2002,2172.47
18395.4004,5218.9199,2169.04
18502.9902,5232.3301,2180.3799
18454.3008,5222.9902,2176.1201
18400.8809,5213.2202,2170.95
18419.3008,5227.21,2170.8601
18491.9609,5249.8999,2179.98
18538.1191,5275.9102,2186.48
18526.1406,5283.9302,2186.1599
18479.9102,5259.48,2181.3
18085.4492,5125.9102,2127.8101
18325.0703,5211.8901,2159.04
18066.75,5155.25,2127.02
18034.7695,5173.77,2125.77
18212.4805,5249.6899,2147.26
18123.8008,5244.5698,2139.1599
18120.1699,5235.0298,2139.1201
18129.9609,5241.3501,2139.76
18293.6992,5295.1802,2163.1201
18392.4609,5339.52,2177.1799
18261.4492,5305.75,2164.6899
18094.8301,5257.4902,2146.1001
18228.3008,5305.71,2159.9299
18339.2402,5318.5498,2171.3701
18143.4492,5269.1499,2151.1299
18308.1504,5312.0,2168.27
18253.8496,5300.8701,2161.2
18168.4492,5289.6602,2150.49
